,Date,Position,Batter,Runs,Total Bases,Walks,Strike Outs,Stolen Bases,Points
0,MARCH 20,C,Jonah Heim,--,--,--,--,--,
1,MARCH 20,1B,Yandy Diaz,--,--,--,--,--,
2,MARCH 20,2B,Ha-Seong Kim,0,0,0,1,0,
3,MARCH 20,3B,Alec Bohm,--,--,--,--,--,
4,MARCH 20,SS,Dansby Swanson,--,--,--,--,--,
5,MARCH 20,OF,Fernando Tatis Jr.,0,0,0,0,1,-1
6,MARCH 20,OF,Steven Kwan,--,--,--,--,--,
7,MARCH 20,OF,Masataka Yoshida,--,--,--,--,--,
8,MARCH 20,UTIL,Jackson Holliday,--,--,--,--,--,
9,MARCH 21,C,Jonah Heim,--,--,--,--,--,
10,MARCH 21,1B,Yandy Diaz,--,--,--,--,--,
11,MARCH 21,2B,Ha-Seong Kim,0,0,1,1,0,
12,MARCH 21,3B,Alec Bohm,--,--,--,--,--,
13,MARCH 21,SS,Dansby Swanson,--,--,--,--,--,
14,MARCH 21,OF,Fernando Tatis Jr.,2,3,1,1,0,7
15,MARCH 21,OF,Steven Kwan,--,--,--,--,--,
16,MARCH 21,OF,Masataka Yoshida,--,--,--,--,--,
17,MARCH 21,UTIL,Jackson Holliday,--,--,--,--,--,
18,MARCH 22,C,Jonah Heim,--,--,--,--,--,
19,MARCH 22,1B,Yandy Diaz,--,--,--,--,--,
20,MARCH 22,2B,Ha-Seong Kim,--,--,--,--,--,
21,MARCH 22,3B,Alec Bohm,--,--,--,--,--,
22,MARCH 22,SS,Dansby Swanson,--,--,--,--,--,
23,MARCH 22,OF,Fernando Tatis Jr.,--,--,--,--,--,
24,MARCH 22,OF,Steven Kwan,--,--,--,--,--,
25,MARCH 22,OF,Masataka Yoshida,--,--,--,--,--,
26,MARCH 22,UTIL,Jackson Holliday,--,--,--,--,--,
27,MARCH 23,C,Jonah Heim,--,--,--,--,--,
28,MARCH 23,1B,Yandy Diaz,--,--,--,--,--,
29,MARCH 23,2B,Ha-Seong Kim,--,--,--,--,--,
30,MARCH 23,3B,Alec Bohm,--,--,--,--,--,
31,MARCH 23,SS,Dansby Swanson,--,--,--,--,--,
32,MARCH 23,OF,Fernando Tatis Jr.,--,--,--,--,--,
33,MARCH 23,OF,Steven Kwan,--,--,--,--,--,
34,MARCH 23,OF,Masataka Yoshida,--,--,--,--,--,
35,MARCH 23,UTIL,Jackson Holliday,--,--,--,--,--,
36,MARCH 24,C,Jonah Heim,--,--,--,--,--,
37,MARCH 24,1B,Yandy Diaz,--,--,--,--,--,
38,MARCH 24,2B,Ha-Seong Kim,--,--,--,--,--,
39,MARCH 24,3B,Alec Bohm,--,--,--,--,--,
40,MARCH 24,SS,Dansby Swanson,--,--,--,--,--,
41,MARCH 24,OF,Fernando Tatis Jr.,--,--,--,--,--,
42,MARCH 24,OF,Steven Kwan,--,--,--,--,--,
43,MARCH 24,OF,Masataka Yoshida,--,--,--,--,--,
44,MARCH 24,UTIL,Jackson Holliday,--,--,--,--,--,
45,MARCH 25,C,Jonah Heim,--,--,--,--,--,
46,MARCH 25,1B,Yandy Diaz,--,--,--,--,--,
47,MARCH 25,2B,Ha-Seong Kim,--,--,--,--,--,
48,MARCH 25,3B,Alec Bohm,--,--,--,--,--,
49,MARCH 25,SS,Dansby Swanson,--,--,--,--,--,
50,MARCH 25,OF,Fernando Tatis Jr.,--,--,--,--,--,
51,MARCH 25,OF,Steven Kwan,--,--,--,--,--,
52,MARCH 25,OF,Masataka Yoshida,--,--,--,--,--,
53,MARCH 25,UTIL,Jackson Holliday,--,--,--,--,--,
54,MARCH 26,C,Jonah Heim,--,--,--,--,--,
55,MARCH 26,1B,Yandy Diaz,--,--,--,--,--,
56,MARCH 26,2B,Ha-Seong Kim,--,--,--,--,--,
57,MARCH 26,3B,Alec Bohm,--,--,--,--,--,
58,MARCH 26,SS,Dansby Swanson,--,--,--,--,--,
59,MARCH 26,OF,Fernando Tatis Jr.,--,--,--,--,--,
60,MARCH 26,OF,Steven Kwan,--,--,--,--,--,
61,MARCH 26,OF,Masataka Yoshida,--,--,--,--,--,
62,MARCH 26,UTIL,Ke'Bryan Hayes,--,--,--,--,--,
63,MARCH 27,C,Jonah Heim,--,--,--,--,--,
64,MARCH 27,1B,Yandy Diaz,--,--,--,--,--,
65,MARCH 27,2B,Ha-Seong Kim,--,--,--,--,--,
66,MARCH 27,3B,Alec Bohm,--,--,--,--,--,
67,MARCH 27,SS,Dansby Swanson,--,--,--,--,--,
68,MARCH 27,OF,Fernando Tatis Jr.,--,--,--,--,--,
69,MARCH 27,OF,Steven Kwan,--,--,--,--,--,
