,Date,Position,Batter,Runs,Total Bases,Walks,Strike Outs,Stolen Bases,Points
5,MARCH 20,OF,Fernando Tatis Jr.,0,0,0,0,1,-1.0
14,MARCH 21,OF,Fernando Tatis Jr.,2,3,1,1,0,7.0
72,MARCH 28,C,Jonah Heim,0,1,1,0,2,0.0
73,MARCH 28,1B,Yandy Diaz,1,7,2,0,0,10.0
76,MARCH 28,SS,Dansby Swanson,0,0,1,0,1,0.0
77,MARCH 28,OF,Fernando Tatis Jr.,0,1,0,0,0,1.0
78,MARCH 28,OF,Steven Kwan,1,1,0,0,1,1.0
79,MARCH 28,OF,Masataka Yoshida,0,2,0,0,0,2.0
80,MARCH 28,UTIL,Ke'Bryan Hayes,1,3,0,2,1,5.0
82,MARCH 29,1B,Yandy Diaz,2,2,2,0,1,5.0
84,MARCH 29,3B,Alec Bohm,1,2,0,0,1,2.0
86,MARCH 29,OF,Fernando Tatis Jr.,2,8,2,0,1,11.0
87,MARCH 29,OF,Steven Kwan,2,3,0,0,1,5.0
88,MARCH 29,OF,Masataka Yoshida,0,1,0,1,1,1.0
89,MARCH 29,UTIL,Ke'Bryan Hayes,2,3,2,1,0,8.0
90,MARCH 30,C,Jonah Heim,1,2,0,0,1,2.0
91,MARCH 30,1B,Yandy Diaz,0,0,1,1,0,2.0
93,MARCH 30,3B,Alec Bohm,0,0,0,0,0,0.0
94,MARCH 30,SS,Dansby Swanson,1,4,2,1,0,8.0
95,MARCH 30,OF,Fernando Tatis Jr.,0,0,0,0,0,0.0
96,MARCH 30,OF,Steven Kwan,3,6,2,1,0,12.0
97,MARCH 30,OF,Masataka Yoshida,0,1,1,0,3,-1.0
98,MARCH 30,UTIL,Ke'Bryan Hayes,0,2,1,0,1,2.0
100,MARCH 31,1B,Yandy Diaz,0,0,0,1,2,-1.0
102,MARCH 31,3B,Alec Bohm,0,2,2,0,1,3.0
103,MARCH 31,SS,Dansby Swanson,0,2,0,1,2,1.0
104,MARCH 31,OF,Fernando Tatis Jr.,1,2,0,0,1,2.0
105,MARCH 31,OF,Steven Kwan,0,1,0,0,1,0.0
106,MARCH 31,OF,Masataka Yoshida,1,1,0,0,0,2.0
107,MARCH 31,UTIL,Ke'Bryan Hayes,1,2,1,1,0,5.0
108,APRIL 1,C,Jonah Heim,0,0,0,0,0,0.0
109,APRIL 1,1B,Yandy Diaz,0,0,0,0,3,-3.0
111,APRIL 1,3B,Alec Bohm,0,2,2,1,0,5.0
112,APRIL 1,SS,Dansby Swanson,0,1,0,1,0,2.0
113,APRIL 1,OF,Fernando Tatis Jr.,1,4,1,0,0,6.0
114,APRIL 1,OF,Steven Kwan,0,0,1,0,2,-1.0
115,APRIL 1,OF,Masataka Yoshida,2,0,1,2,0,5.0
116,APRIL 1,UTIL,Ke'Bryan Hayes,1,2,1,1,0,5.0
117,APRIL 2,C,Jonah Heim,0,2,2,0,0,4.0
118,APRIL 2,1B,Yandy Diaz,1,1,1,0,1,2.0
120,APRIL 2,3B,Alec Bohm,0,0,0,0,0,0.0
121,APRIL 2,SS,Dansby Swanson,1,2,0,0,2,1.0
122,APRIL 2,OF,Fernando Tatis Jr.,0,2,0,0,1,2.0
123,APRIL 2,OF,Steven Kwan,0,2,0,0,0,2.0
124,APRIL 2,OF,Masataka Yoshida,0,2,0,0,0,2.0
126,APRIL 3,C,Jonah Heim,0,1,0,0,1,0.0
127,APRIL 3,1B,Yandy Diaz,0,1,0,1,0,2.0
129,APRIL 3,3B,Ke'Bryan Hayes,0,0,0,0,2,-2.0
130,APRIL 3,SS,Dansby Swanson,1,1,0,1,1,3.0
131,APRIL 3,OF,Fernando Tatis Jr.,0,0,1,2,1,3.0
132,APRIL 3,OF,Steven Kwan,3,3,0,0,0,6.0
133,APRIL 3,OF,Masataka Yoshida,0,1,0,0,1,0.0
134,APRIL 3,UTIL,Luis Rengifo,1,2,0,0,1,2.0
138,APRIL 4,3B,Ke'Bryan Hayes,1,0,0,1,0,2.0
141,APRIL 4,OF,Steven Kwan,1,4,0,0,0,5.0
144,APRIL 5,C,Jonah Heim,1,3,0,0,1,3.0
145,APRIL 5,1B,Yandy Diaz,2,3,1,1,1,6.0
147,APRIL 5,3B,Ke'Bryan Hayes,0,2,0,1,1,2.0
148,APRIL 5,SS,Dansby Swanson,1,5,1,1,0,8.0
149,APRIL 5,OF,Fernando Tatis Jr.,0,1,1,0,1,1.0
150,APRIL 5,OF,Masataka Yoshida,0,1,0,0,1,0.0
152,APRIL 5,UTIL,Alec Bohm,1,1,0,2,1,4.0
153,APRIL 6,C,Jonah Heim,0,1,1,0,2,0.0
154,APRIL 6,1B,Yandy Diaz,0,1,2,0,1,2.0
156,APRIL 6,3B,Alec Bohm,0,3,1,1,1,4.0
157,APRIL 6,SS,Dansby Swanson,1,1,0,0,2,0.0
158,APRIL 6,OF,Fernando Tatis Jr.,0,1,0,0,0,1.0
159,APRIL 6,OF,Steven Kwan,0,0,0,0,2,-2.0
160,APRIL 6,OF,Masataka Yoshida,0,0,0,0,0,0.0
161,APRIL 6,UTIL,Ke'Bryan Hayes,0,0,0,0,1,-1.0
162,APRIL 7,C,Jonah Heim,0,0,0,0,1,-1.0
163,APRIL 7,1B,Yandy Diaz,0,0,0,0,1,-1.0
165,APRIL 7,3B,Alec Bohm,0,0,0,1,2,-1.0
166,APRIL 7,SS,Dansby Swanson,1,0,1,1,1,2.0
167,APRIL 7,OF,Fernando Tatis Jr.,1,1,0,0,0,2.0
169,APRIL 7,OF,Masataka Yoshida,2,1,1,1,0,5.0
170,APRIL 7,UTIL,Ke'Bryan Hayes,0,2,0,0,0,2.0
172,APRIL 8,1B,Yandy Diaz,0,0,0,0,0,0.0
174,APRIL 8,3B,Alec Bohm,0,2,1,1,0,4.0
175,APRIL 8,SS,Dansby Swanson,0,3,2,0,1,4.0
176,APRIL 8,OF,Fernando Tatis Jr.,2,4,2,1,1,8.0
177,APRIL 8,OF,Steven Kwan,1,3,0,0,1,3.0
179,APRIL 8,UTIL,Ke'Bryan Hayes,0,0,0,0,1,-1.0
180,APRIL 9,C,Jonah Heim,1,4,1,0,1,5.0
181,APRIL 9,1B,Yandy Diaz,0,0,0,0,1,-1.0
183,APRIL 9,3B,Alec Bohm,0,1,0,0,1,0.0
184,APRIL 9,SS,Dansby Swanson,0,0,0,0,1,-1.0
185,APRIL 9,OF,Fernando Tatis Jr.,0,0,0,0,1,-1.0
186,APRIL 9,OF,Steven Kwan,1,2,1,0,0,4.0
187,APRIL 9,OF,Masataka Yoshida,0,0,0,0,0,0.0
188,APRIL 9,UTIL,Ke'Bryan Hayes,0,2,1,0,0,3.0
189,APRIL 10,C,Jonah Heim,0,2,2,0,0,4.0
190,APRIL 10,1B,Yandy Diaz,1,1,0,0,0,2.0
192,APRIL 10,3B,Alec Bohm,1,1,1,1,3,1.0
193,APRIL 10,SS,Dansby Swanson,0,1,0,0,0,1.0
194,APRIL 10,OF,Fernando Tatis Jr.,1,1,1,1,0,4.0
195,APRIL 10,OF,Steven Kwan,1,5,1,0,0,7.0
196,APRIL 10,OF,Masataka Yoshida,0,1,0,0,0,1.0
