,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
0,MARCH 20,Corbin Burnes,--,--,--,--,--,--,--,--,--,
1,MARCH 20,George Kirby,--,--,--,--,--,--,--,--,--,
2,MARCH 20,Zach Eflin,--,--,--,--,--,--,--,--,--,
3,MARCH 20,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
4,MARCH 20,Cole Ragans,--,--,--,--,--,--,--,--,--,
5,MARCH 20,Chris Sale,--,--,--,--,--,--,--,--,--,
6,MARCH 20,Raisel Iglesias,--,--,--,--,--,--,--,--,--,
7,MARCH 21,Corbin Burnes,--,--,--,--,--,--,--,--,--,
8,MARCH 21,George Kirby,--,--,--,--,--,--,--,--,--,
9,MARCH 21,Zach Eflin,--,--,--,--,--,--,--,--,--,
10,MARCH 21,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
11,MARCH 21,Cole Ragans,--,--,--,--,--,--,--,--,--,
12,MARCH 21,Chris Sale,--,--,--,--,--,--,--,--,--,
13,MARCH 21,Raisel Iglesias,--,--,--,--,--,--,--,--,--,
14,MARCH 22,Corbin Burnes,--,--,--,--,--,--,--,--,--,
15,MARCH 22,George Kirby,--,--,--,--,--,--,--,--,--,
16,MARCH 22,Zach Eflin,--,--,--,--,--,--,--,--,--,
17,MARCH 22,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
18,MARCH 22,Cole Ragans,--,--,--,--,--,--,--,--,--,
19,MARCH 22,Chris Sale,--,--,--,--,--,--,--,--,--,
20,MARCH 22,Raisel Iglesias,--,--,--,--,--,--,--,--,--,
21,MARCH 23,Corbin Burnes,--,--,--,--,--,--,--,--,--,
22,MARCH 23,George Kirby,--,--,--,--,--,--,--,--,--,
23,MARCH 23,Zach Eflin,--,--,--,--,--,--,--,--,--,
24,MARCH 23,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
25,MARCH 23,Cole Ragans,--,--,--,--,--,--,--,--,--,
26,MARCH 23,Chris Sale,--,--,--,--,--,--,--,--,--,
27,MARCH 23,Raisel Iglesias,--,--,--,--,--,--,--,--,--,
28,MARCH 24,Corbin Burnes,--,--,--,--,--,--,--,--,--,
29,MARCH 24,George Kirby,--,--,--,--,--,--,--,--,--,
30,MARCH 24,Zach Eflin,--,--,--,--,--,--,--,--,--,
31,MARCH 24,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
32,MARCH 24,Cole Ragans,--,--,--,--,--,--,--,--,--,
33,MARCH 24,Chris Sale,--,--,--,--,--,--,--,--,--,
34,MARCH 24,Raisel Iglesias,--,--,--,--,--,--,--,--,--,
35,MARCH 25,Corbin Burnes,--,--,--,--,--,--,--,--,--,
36,MARCH 25,George Kirby,--,--,--,--,--,--,--,--,--,
37,MARCH 25,Zach Eflin,--,--,--,--,--,--,--,--,--,
