,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
0,MARCH 30,Sandy Alcantara,5.2,3,3,4,2,0,0,0,0,6
1,MARCH 30,Max Scherzer,6.0,4,3,2,6,1,0,0,0,14
2,MARCH 30,Spencer Strider,--,--,--,--,--,--,--,--,--,
3,MARCH 30,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
4,MARCH 30,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
5,MARCH 30,Ryan Pressly,1.0,2,2,1,1,0,1,0,0,-5
6,MARCH 30,Jhoan Duran,1.0,0,0,1,1,0,0,1,0,8
7,MARCH 31,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
8,MARCH 31,Max Scherzer,--,--,--,--,--,--,--,--,--,
9,MARCH 31,Spencer Strider,--,--,--,--,--,--,--,--,--,
10,MARCH 31,Emmanuel Clase,1.0,0,0,0,2,0,0,0,0,5
11,MARCH 31,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
12,MARCH 31,Ryan Pressly,--,--,--,--,--,--,--,--,--,
13,MARCH 31,Jhoan Duran,--,--,--,--,--,--,--,--,--,
14,APRIL 1,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
15,APRIL 1,Max Scherzer,--,--,--,--,--,--,--,--,--,
16,APRIL 1,Spencer Strider,6.0,3,0,3,9,1,0,0,0,23
17,APRIL 1,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9
18,APRIL 1,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
19,APRIL 1,Ryan Pressly,--,--,--,--,--,--,--,--,--,
20,APRIL 1,Jhoan Duran,--,--,--,--,--,--,--,--,--,
21,APRIL 2,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
22,APRIL 2,Max Scherzer,--,--,--,--,--,--,--,--,--,
23,APRIL 2,Spencer Strider,--,--,--,--,--,--,--,--,--,
24,APRIL 2,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
25,APRIL 2,Jeffrey Springs,6.0,0,0,1,12,1,0,0,0,31
26,APRIL 2,Ryan Pressly,--,--,--,--,--,--,--,--,--,
27,APRIL 2,Jhoan Duran,--,--,--,--,--,--,--,--,--,
28,APRIL 3,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
29,APRIL 3,Max Scherzer,--,--,--,--,--,--,--,--,--,
30,APRIL 3,Spencer Strider,--,--,--,--,--,--,--,--,--,
31,APRIL 3,Emmanuel Clase,1.0,2,2,2,0,1,0,0,0,-3
32,APRIL 3,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
33,APRIL 3,Ryan Pressly,1.0,0,0,0,0,0,0,0,0,3
34,APRIL 3,Jhoan Duran,--,--,--,--,--,--,--,--,--,
35,APRIL 4,Sandy Alcantara,9.0,3,0,1,5,1,0,0,0,30
36,APRIL 4,Max Scherzer,5.1,8,5,2,2,0,1,0,0,-4
37,APRIL 4,Spencer Strider,--,--,--,--,--,--,--,--,--,
38,APRIL 4,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
39,APRIL 4,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
40,APRIL 4,Ryan Pressly,--,--,--,--,--,--,--,--,--,
41,APRIL 4,Jhoan Duran,--,--,--,--,--,--,--,--,--,
42,APRIL 5,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
43,APRIL 5,Max Scherzer,--,--,--,--,--,--,--,--,--,
44,APRIL 5,Spencer Strider,--,--,--,--,--,--,--,--,--,
45,APRIL 5,Emmanuel Clase,1.0,0,0,1,1,0,0,1,0,8
46,APRIL 5,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
47,APRIL 5,Ryan Pressly,1.0,0,0,0,1,0,0,0,0,4
48,APRIL 5,Jhoan Duran,--,--,--,--,--,--,--,--,--,
49,APRIL 6,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
50,APRIL 6,Max Scherzer,--,--,--,--,--,--,--,--,--,
51,APRIL 6,Spencer Strider,5.0,4,3,3,9,0,0,0,0,11
52,APRIL 6,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
53,APRIL 6,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
54,APRIL 6,Ryan Pressly,--,--,--,--,--,--,--,--,--,
55,APRIL 6,Jhoan Duran,--,--,--,--,--,--,--,--,--,
56,APRIL 7,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
57,APRIL 7,Max Scherzer,--,--,--,--,--,--,--,--,--,
58,APRIL 7,Spencer Strider,--,--,--,--,--,--,--,--,--,
59,APRIL 7,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
60,APRIL 7,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
61,APRIL 7,Ryan Pressly,1.0,0,0,0,3,0,0,0,0,6
62,APRIL 7,Jhoan Duran,1.0,0,0,1,2,0,0,0,0,4
63,APRIL 8,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
64,APRIL 8,Spencer Strider,--,--,--,--,--,--,--,--,--,
65,APRIL 8,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
66,APRIL 8,Jeffrey Springs,7.0,3,0,3,7,1,0,0,0,24
67,APRIL 8,Ryan Pressly,--,--,--,--,--,--,--,--,--,
68,APRIL 8,Jhoan Duran,0.1,0,0,0,1,0,0,1,0,7
69,APRIL 8,Martin Perez,5.0,5,2,0,5,0,1,0,0,9
70,APRIL 9,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
71,APRIL 9,Max Scherzer,--,--,--,--,--,--,--,--,--,
72,APRIL 9,Spencer Strider,--,--,--,--,--,--,--,--,--,
73,APRIL 9,Emmanuel Clase,1.0,1,1,1,0,0,0,0,0,-1
74,APRIL 9,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
75,APRIL 9,Ryan Pressly,1.0,0,0,0,0,0,0,0,0,3
76,APRIL 9,Jhoan Duran,--,--,--,--,--,--,--,--,--,
77,APRIL 10,Sandy Alcantara,4.0,10,9,1,4,0,1,0,0,-15
78,APRIL 10,Max Scherzer,5.0,1,0,3,6,1,0,0,0,19
79,APRIL 10,Spencer Strider,--,--,--,--,--,--,--,--,--,
80,APRIL 10,Emmanuel Clase,1.0,0,0,0,2,0,0,1,0,10
81,APRIL 10,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
82,APRIL 10,Ryan Pressly,--,--,--,--,--,--,--,--,--,
83,APRIL 10,Jhoan Duran,--,--,--,--,--,--,--,--,--,
84,APRIL 11,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
85,APRIL 11,Spencer Strider,--,--,--,--,--,--,--,--,--,
86,APRIL 11,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
87,APRIL 11,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
88,APRIL 11,Ryan Pressly,0.1,3,3,0,1,0,1,0,0,-9
89,APRIL 11,Jhoan Duran,1.0,1,1,0,3,0,0,0,0,3
90,APRIL 11,Martin Perez,--,--,--,--,--,--,--,--,--,
91,APRIL 12,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
92,APRIL 12,Spencer Strider,5.0,4,3,2,9,0,0,0,0,12
93,APRIL 12,Emmanuel Clase,1.0,2,0,0,1,0,1,0,0,0
94,APRIL 12,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
95,APRIL 12,Ryan Pressly,--,--,--,--,--,--,--,--,--,
96,APRIL 12,Jhoan Duran,1.0,2,1,0,0,0,0,1,0,4
97,APRIL 12,Martin Perez,--,--,--,--,--,--,--,--,--,
98,APRIL 13,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
99,APRIL 13,Spencer Strider,--,--,--,--,--,--,--,--,--,
100,APRIL 13,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
101,APRIL 13,Jeffrey Springs,3.0,1,1,0,5,0,0,0,0,11
102,APRIL 13,Ryan Pressly,--,--,--,--,--,--,--,--,--,
103,APRIL 13,Jhoan Duran,--,--,--,--,--,--,--,--,--,
104,APRIL 13,Martin Perez,--,--,--,--,--,--,--,--,--,
105,APRIL 14,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
106,APRIL 14,Spencer Strider,--,--,--,--,--,--,--,--,--,
107,APRIL 14,Emmanuel Clase,1.0,1,0,0,1,0,0,1,0,8
108,APRIL 14,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
109,APRIL 14,Ryan Pressly,--,--,--,--,--,--,--,--,--,
110,APRIL 14,Jhoan Duran,1.0,1,0,0,0,0,0,1,0,7
111,APRIL 14,Martin Perez,5.0,5,2,4,4,1,0,0,0,8
112,APRIL 15,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
113,APRIL 15,Max Scherzer,--,--,--,--,--,--,--,--,--,
114,APRIL 15,Spencer Strider,--,--,--,--,--,--,--,--,--,
115,APRIL 15,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8
116,APRIL 15,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
117,APRIL 15,Ryan Pressly,--,--,--,--,--,--,--,--,--,
118,APRIL 15,Jhoan Duran,--,--,--,--,--,--,--,--,--,
119,APRIL 16,Sandy Alcantara,6.0,6,3,0,9,0,1,0,0,13
120,APRIL 16,Max Scherzer,--,--,--,--,--,--,--,--,--,
121,APRIL 16,Spencer Strider,--,--,--,--,--,--,--,--,--,
122,APRIL 16,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
123,APRIL 16,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
124,APRIL 16,Ryan Pressly,--,--,--,--,--,--,--,--,--,
125,APRIL 16,Jhoan Duran,--,--,--,--,--,--,--,--,--,
126,APRIL 17,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
127,APRIL 17,Max Scherzer,--,--,--,--,--,--,--,--,--,
128,APRIL 17,Spencer Strider,--,--,--,--,--,--,--,--,--,
129,APRIL 17,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
130,APRIL 17,Ryan Pressly,--,--,--,--,--,--,--,--,--,
131,APRIL 17,Jhoan Duran,--,--,--,--,--,--,--,--,--,
132,APRIL 17,Drew VerHagen,--,--,--,--,--,--,--,--,--,
133,APRIL 18,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
134,APRIL 18,Max Scherzer,--,--,--,--,--,--,--,--,--,
135,APRIL 18,Spencer Strider,6.0,1,0,3,9,1,0,0,0,25
136,APRIL 18,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
137,APRIL 18,Ryan Pressly,1.0,0,0,0,1,0,0,0,0,4
138,APRIL 18,Jhoan Duran,1.0,0,0,0,2,0,0,0,0,5
139,APRIL 18,Drew VerHagen,--,--,--,--,--,--,--,--,--,
140,APRIL 19,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
141,APRIL 19,Max Scherzer,3.0,1,0,2,3,0,0,0,0,9
142,APRIL 19,Emmanuel Clase,1.0,2,0,0,0,0,0,1,0,6
143,APRIL 19,Ryan Pressly,1.0,0,0,0,0,0,0,0,0,3
144,APRIL 19,Jhoan Duran,--,--,--,--,--,--,--,--,--,
145,APRIL 19,Martin Perez,5.2,8,3,0,3,1,0,0,0,8
146,APRIL 19,Drew VerHagen,1.0,0,0,1,2,0,0,0,0,
147,APRIL 20,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
148,APRIL 20,Max Scherzer,--,--,--,--,--,--,--,--,--,
149,APRIL 20,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
150,APRIL 20,Ryan Pressly,--,--,--,--,--,--,--,--,--,
151,APRIL 20,Jhoan Duran,--,--,--,--,--,--,--,--,--,
152,APRIL 20,Martin Perez,--,--,--,--,--,--,--,--,--,
153,APRIL 20,Drew VerHagen,--,--,--,--,--,--,--,--,--,
154,APRIL 21,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
155,APRIL 21,Spencer Strider,--,--,--,--,--,--,--,--,--,
156,APRIL 21,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
157,APRIL 21,Ryan Pressly,1.0,0,0,1,1,0,0,1,0,8
158,APRIL 21,Jhoan Duran,--,--,--,--,--,--,--,--,--,
159,APRIL 21,Martin Perez,--,--,--,--,--,--,--,--,--,
160,APRIL 21,Drew VerHagen,0.2,2,1,0,1,0,0,0,0,
161,APRIL 22,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
162,APRIL 22,Spencer Strider,--,--,--,--,--,--,--,--,--,
163,APRIL 22,Emmanuel Clase,1.0,0,0,0,0,0,0,0,0,3
164,APRIL 22,Ryan Pressly,--,--,--,--,--,--,--,--,--,
165,APRIL 22,Joe Musgrove,5.0,7,3,0,6,1,0,0,0,10
166,APRIL 22,Jhoan Duran,--,--,--,--,--,--,--,--,--,
167,APRIL 22,Drew VerHagen,--,--,--,--,--,--,--,--,--,
168,APRIL 23,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
169,APRIL 23,Spencer Strider,--,--,--,--,--,--,--,--,--,
170,APRIL 23,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8
171,APRIL 23,Ryan Pressly,--,--,--,--,--,--,--,--,--,
172,APRIL 23,Joe Musgrove,--,--,--,--,--,--,--,--,--,
173,APRIL 23,Jhoan Duran,1.0,0,0,0,1,0,0,1,0,9
174,APRIL 23,Drew VerHagen,--,--,--,--,--,--,--,--,--,
175,APRIL 24,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
176,APRIL 24,Spencer Strider,8.0,2,0,0,13,1,0,0,0,37
177,APRIL 24,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
178,APRIL 24,Ryan Pressly,--,--,--,--,--,--,--,--,--,
179,APRIL 24,Joe Musgrove,--,--,--,--,--,--,--,--,--,
180,APRIL 24,Jhoan Duran,--,--,--,--,--,--,--,--,--,
181,APRIL 24,Drew VerHagen,1.0,2,3,1,2,0,0,0,0,
182,APRIL 25,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
183,APRIL 25,Spencer Strider,--,--,--,--,--,--,--,--,--,
184,APRIL 25,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
185,APRIL 25,Ryan Pressly,1.0,1,0,0,0,0,0,0,0,2
186,APRIL 25,Joe Musgrove,--,--,--,--,--,--,--,--,--,
187,APRIL 25,Jhoan Duran,1.0,1,0,0,1,0,0,0,0,3
188,APRIL 25,Jorge Lopez,1.0,0,0,0,1,0,0,0,0,4
189,APRIL 26,Sandy Alcantara,5.2,4,2,3,6,0,0,0,0,12
190,APRIL 26,Spencer Strider,--,--,--,--,--,--,--,--,--,
191,APRIL 26,Emmanuel Clase,1.0,1,0,0,0,0,0,1,0,7
192,APRIL 26,Ryan Pressly,1.0,0,0,0,0,0,0,1,0,8
193,APRIL 26,Joe Musgrove,--,--,--,--,--,--,--,--,--,
194,APRIL 26,Jhoan Duran,--,--,--,--,--,--,--,--,--,
195,APRIL 26,Jorge Lopez,--,--,--,--,--,--,--,--,--,
196,APRIL 27,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
197,APRIL 27,Spencer Strider,--,--,--,--,--,--,--,--,--,
198,APRIL 27,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
199,APRIL 27,Ryan Pressly,--,--,--,--,--,--,--,--,--,
200,APRIL 27,Joe Musgrove,--,--,--,--,--,--,--,--,--,
201,APRIL 27,Jhoan Duran,1.0,0,0,1,2,0,0,0,0,4
202,APRIL 27,Jorge Lopez,--,--,--,--,--,--,--,--,--,
203,APRIL 28,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
204,APRIL 28,Spencer Strider,--,--,--,--,--,--,--,--,--,
205,APRIL 28,Emmanuel Clase,1.0,1,0,0,0,0,0,1,0,7
206,APRIL 28,Ryan Pressly,--,--,--,--,--,--,--,--,--,
207,APRIL 28,Joe Musgrove,--,--,--,--,--,--,--,--,--,
208,APRIL 28,Jhoan Duran,--,--,--,--,--,--,--,--,--,
209,APRIL 28,Jorge Lopez,1.0,2,0,0,1,0,0,1,0,7
210,APRIL 29,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
211,APRIL 29,Spencer Strider,--,--,--,--,--,--,--,--,--,
212,APRIL 29,Emmanuel Clase,0.1,2,0,0,0,0,1,0,0,-3
213,APRIL 29,Ryan Pressly,--,--,--,--,--,--,--,--,--,
214,APRIL 29,Joe Musgrove,3.1,6,7,1,3,0,0,0,0,-8
215,APRIL 29,Jhoan Duran,1.0,0,1,3,1,0,1,0,0,-3
216,APRIL 29,Jorge Lopez,0.1,1,0,1,0,0,0,0,0,-1
217,APRIL 30,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
218,APRIL 30,Spencer Strider,--,--,--,--,--,--,--,--,--,
219,APRIL 30,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
220,APRIL 30,Ryan Pressly,1.0,0,0,0,1,0,0,1,0,9
221,APRIL 30,Joe Musgrove,--,--,--,--,--,--,--,--,--,
222,APRIL 30,Jhoan Duran,0.1,0,0,0,0,0,0,1,0,6
223,APRIL 30,Jorge Lopez,--,--,--,--,--,--,--,--,--,
224,MAY 1,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
225,MAY 1,Spencer Strider,5.0,5,4,3,8,1,0,0,0,9
226,MAY 1,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9
227,MAY 1,Ryan Pressly,1.0,1,0,0,1,0,0,0,0,3
228,MAY 1,Joe Musgrove,--,--,--,--,--,--,--,--,--,
229,MAY 1,Jhoan Duran,--,--,--,--,--,--,--,--,--,
230,MAY 1,Jorge Lopez,--,--,--,--,--,--,--,--,--,
231,MAY 2,Sandy Alcantara,5.0,6,3,3,5,0,1,0,0,3
232,MAY 2,Spencer Strider,--,--,--,--,--,--,--,--,--,
233,MAY 2,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
234,MAY 2,Ryan Pressly,--,--,--,--,--,--,--,--,--,
235,MAY 2,Joe Musgrove,--,--,--,--,--,--,--,--,--,
236,MAY 2,Jhoan Duran,--,--,--,--,--,--,--,--,--,
237,MAY 2,Jorge Lopez,1.0,3,2,0,0,0,0,0,0,-4
238,MAY 3,Max Scherzer,3.1,8,6,1,3,0,1,0,0,-10
239,MAY 3,Spencer Strider,--,--,--,--,--,--,--,--,--,
240,MAY 3,Emmanuel Clase,1.0,2,1,0,0,0,0,0,0,-1
241,MAY 3,Ryan Pressly,--,--,--,--,--,--,--,--,--,
242,MAY 3,Joe Musgrove,--,--,--,--,--,--,--,--,--,
243,MAY 3,Jhoan Duran,--,--,--,--,--,--,--,--,--,
244,MAY 3,Jorge Lopez,--,--,--,--,--,--,--,--,--,
245,MAY 4,Max Scherzer,--,--,--,--,--,--,--,--,--,
246,MAY 4,Spencer Strider,--,--,--,--,--,--,--,--,--,
