,Date,Position,Batter,Runs,Total Bases,Walks,Strike Outs,Stolen Bases,Points
0,MARCH 30,C,Adley Rutschman,1,8,4,1,0,14
1,MARCH 30,1B,Brandon Drury,0,0,0,0,1,-1
2,MARCH 30,2B,Brendan Donovan,3,6,2,0,0,11
3,MARCH 30,3B,Yandy Diaz,0,0,0,1,1,0
4,MARCH 30,SS,Jeremy Pena,0,1,0,0,2,0
5,MARCH 30,OF,Anthony Santander,0,3,0,0,2,1
6,MARCH 30,OF,Steven Kwan,0,0,0,0,1,-1
7,MARCH 30,OF,Byron Buxton,1,4,0,0,1,4
8,MARCH 30,UTIL,Anthony Rendon,0,0,0,1,2,-1
9,MARCH 31,C,Adley Rutschman,--,--,--,--,--,
10,MARCH 31,1B,Brandon Drury,--,--,--,--,--,
11,MARCH 31,2B,Brendan Donovan,--,--,--,--,--,
12,MARCH 31,3B,Yandy Diaz,--,--,--,--,--,
13,MARCH 31,SS,Jeremy Pena,1,1,0,0,1,1
14,MARCH 31,OF,Anthony Santander,--,--,--,--,--,
15,MARCH 31,OF,Steven Kwan,0,3,5,1,1,8
16,MARCH 31,OF,Byron Buxton,--,--,--,--,--,
17,MARCH 31,UTIL,Amed Rosario,0,2,1,0,0,
18,APRIL 1,C,Adley Rutschman,1,1,0,0,0,2
19,APRIL 1,1B,Brandon Drury,--,--,--,--,--,
20,APRIL 1,2B,Brendan Donovan,1,1,0,0,1,1
21,APRIL 1,3B,Yandy Diaz,3,7,3,1,1,13
22,APRIL 1,SS,Jeremy Pena,1,3,1,0,0,5
23,APRIL 1,OF,Anthony Santander,1,3,1,0,1,4
24,APRIL 1,OF,Steven Kwan,0,1,0,0,2,-1
25,APRIL 1,OF,Byron Buxton,2,3,0,0,1,4
26,APRIL 1,UTIL,Amed Rosario,0,0,0,0,0,
27,APRIL 2,C,Adley Rutschman,0,0,0,0,3,-3
28,APRIL 2,1B,Brandon Drury,0,0,0,0,1,-1
29,APRIL 2,2B,Brendan Donovan,1,4,2,0,1,6
30,APRIL 2,3B,Yandy Diaz,0,0,0,0,0,0
31,APRIL 2,SS,Jeremy Pena,1,0,0,1,2,0
32,APRIL 2,OF,Anthony Santander,0,1,0,0,1,0
33,APRIL 2,OF,Steven Kwan,0,1,1,0,0,2
34,APRIL 2,OF,Byron Buxton,0,2,0,1,1,2
35,APRIL 2,UTIL,Amed Rosario,0,1,0,0,2,
36,APRIL 3,C,Adley Rutschman,0,1,0,0,1,0
37,APRIL 3,1B,Brandon Drury,0,4,1,0,0,5
38,APRIL 3,2B,Brendan Donovan,0,0,1,0,2,-1
39,APRIL 3,3B,Anthony Rendon,--,--,--,--,--,
40,APRIL 3,SS,Jeremy Pena,1,0,1,1,0,3
41,APRIL 3,OF,Anthony Santander,0,0,0,0,1,-1
42,APRIL 3,OF,Steven Kwan,3,3,1,0,0,7
43,APRIL 3,OF,Byron Buxton,1,0,0,1,1,1
44,APRIL 3,UTIL,Amed Rosario,1,2,2,0,2,
45,APRIL 4,C,Adley Rutschman,0,1,0,0,0,1
46,APRIL 4,1B,Christian Bethancourt,0,0,0,0,3,-3
47,APRIL 4,2B,Brandon Drury,0,2,1,0,1,2
48,APRIL 4,3B,Yandy Diaz,3,5,3,1,0,12
49,APRIL 4,SS,Jeremy Pena,0,0,0,0,1,-1
