,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
0,MARCH 30,Sandy Alcantara,5.2,3,3,4,2,0,0,0,0,6
1,MARCH 30,Max Scherzer,6.0,4,3,2,6,1,0,0,0,14
2,MARCH 30,Spencer Strider,--,--,--,--,--,--,--,--,--,
3,MARCH 30,Emmanuel Clase,--,--,--,--,--,--,--,--,--,
4,MARCH 30,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
5,MARCH 30,Ryan Pressly,1.0,2,2,1,1,0,1,0,0,-5
6,MARCH 30,Jhoan Duran,1.0,0,0,1,1,0,0,1,0,8
7,MARCH 31,Sandy Alcantara,--,--,--,--,--,--,--,--,--,
8,MARCH 31,Max Scherzer,--,--,--,--,--,--,--,--,--,
9,MARCH 31,Spencer Strider,--,--,--,--,--,--,--,--,--,
10,MARCH 31,Emmanuel Clase,1.0,0,0,0,2,0,0,0,0,5
11,MARCH 31,Jeffrey Springs,--,--,--,--,--,--,--,--,--,
12,MARCH 31,Ryan Pressly,--,--,--,--,--,--,--,--,--,
13,MARCH 31,Jhoan Duran,--,--,--,--,--,--,--,--,--,
