,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
0,MARCH 30,Sandy Alcantara,5.2,3,3,4,2,0,0,0,0,6.0
1,MARCH 30,Max Scherzer,6.0,4,3,2,6,1,0,0,0,14.0
5,MARCH 30,Ryan Pressly,1.0,2,2,1,1,0,1,0,0,-5.0
6,MARCH 30,Jhoan Duran,1.0,0,0,1,1,0,0,1,0,8.0
10,MARCH 31,Emmanuel Clase,1.0,0,0,0,2,0,0,0,0,5.0
16,APRIL 1,Spencer Strider,6.0,3,0,3,9,1,0,0,0,23.0
17,APRIL 1,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
25,APRIL 2,Jeffrey Springs,6.0,0,0,1,12,1,0,0,0,31.0
31,APRIL 3,Emmanuel Clase,1.0,2,2,2,0,1,0,0,0,-3.0
33,APRIL 3,Ryan Pressly,1.0,0,0,0,0,0,0,0,0,3.0
35,APRIL 4,Sandy Alcantara,9.0,3,0,1,5,1,0,0,0,30.0
36,APRIL 4,Max Scherzer,5.1,8,5,2,2,0,1,0,0,-4.0
45,APRIL 5,Emmanuel Clase,1.0,0,0,1,1,0,0,1,0,8.0
47,APRIL 5,Ryan Pressly,1.0,0,0,0,1,0,0,0,0,4.0
51,APRIL 6,Spencer Strider,5.0,4,3,3,9,0,0,0,0,11.0
61,APRIL 7,Ryan Pressly,1.0,0,0,0,3,0,0,0,0,6.0
62,APRIL 7,Jhoan Duran,1.0,0,0,1,2,0,0,0,0,4.0
66,APRIL 8,Jeffrey Springs,7.0,3,0,3,7,1,0,0,0,24.0
68,APRIL 8,Jhoan Duran,0.1,0,0,0,1,0,0,1,0,7.0
69,APRIL 8,Martin Perez,5.0,5,2,0,5,0,1,0,0,9.0
73,APRIL 9,Emmanuel Clase,1.0,1,1,1,0,0,0,0,0,-1.0
75,APRIL 9,Ryan Pressly,1.0,0,0,0,0,0,0,0,0,3.0
77,APRIL 10,Sandy Alcantara,4.0,10,9,1,4,0,1,0,0,-15.0
78,APRIL 10,Max Scherzer,5.0,1,0,3,6,1,0,0,0,19.0
80,APRIL 10,Emmanuel Clase,1.0,0,0,0,2,0,0,1,0,10.0
88,APRIL 11,Ryan Pressly,0.1,3,3,0,1,0,1,0,0,-9.0
89,APRIL 11,Jhoan Duran,1.0,1,1,0,3,0,0,0,0,3.0
92,APRIL 12,Spencer Strider,5.0,4,3,2,9,0,0,0,0,12.0
93,APRIL 12,Emmanuel Clase,1.0,2,0,0,1,0,1,0,0,0.0
96,APRIL 12,Jhoan Duran,1.0,2,1,0,0,0,0,1,0,4.0
101,APRIL 13,Jeffrey Springs,3.0,1,1,0,5,0,0,0,0,11.0
107,APRIL 14,Emmanuel Clase,1.0,1,0,0,1,0,0,1,0,8.0
110,APRIL 14,Jhoan Duran,1.0,1,0,0,0,0,0,1,0,7.0
111,APRIL 14,Martin Perez,5.0,5,2,4,4,1,0,0,0,8.0
115,APRIL 15,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8.0
119,APRIL 16,Sandy Alcantara,6.0,6,3,0,9,0,1,0,0,13.0
135,APRIL 18,Spencer Strider,6.0,1,0,3,9,1,0,0,0,25.0
137,APRIL 18,Ryan Pressly,1.0,0,0,0,1,0,0,0,0,4.0
138,APRIL 18,Jhoan Duran,1.0,0,0,0,2,0,0,0,0,5.0
141,APRIL 19,Max Scherzer,3.0,1,0,2,3,0,0,0,0,9.0
142,APRIL 19,Emmanuel Clase,1.0,2,0,0,0,0,0,1,0,6.0
143,APRIL 19,Ryan Pressly,1.0,0,0,0,0,0,0,0,0,3.0
145,APRIL 19,Martin Perez,5.2,8,3,0,3,1,0,0,0,8.0
157,APRIL 21,Ryan Pressly,1.0,0,0,1,1,0,0,1,0,8.0
163,APRIL 22,Emmanuel Clase,1.0,0,0,0,0,0,0,0,0,3.0
165,APRIL 22,Joe Musgrove,5.0,7,3,0,6,1,0,0,0,10.0
170,APRIL 23,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8.0
173,APRIL 23,Jhoan Duran,1.0,0,0,0,1,0,0,1,0,9.0
176,APRIL 24,Spencer Strider,8.0,2,0,0,13,1,0,0,0,37.0
185,APRIL 25,Ryan Pressly,1.0,1,0,0,0,0,0,0,0,2.0
187,APRIL 25,Jhoan Duran,1.0,1,0,0,1,0,0,0,0,3.0
188,APRIL 25,Jorge Lopez,1.0,0,0,0,1,0,0,0,0,4.0
189,APRIL 26,Sandy Alcantara,5.2,4,2,3,6,0,0,0,0,12.0
191,APRIL 26,Emmanuel Clase,1.0,1,0,0,0,0,0,1,0,7.0
192,APRIL 26,Ryan Pressly,1.0,0,0,0,0,0,0,1,0,8.0
201,APRIL 27,Jhoan Duran,1.0,0,0,1,2,0,0,0,0,4.0
205,APRIL 28,Emmanuel Clase,1.0,1,0,0,0,0,0,1,0,7.0
209,APRIL 28,Jorge Lopez,1.0,2,0,0,1,0,0,1,0,7.0
212,APRIL 29,Emmanuel Clase,0.1,2,0,0,0,0,1,0,0,-3.0
214,APRIL 29,Joe Musgrove,3.1,6,7,1,3,0,0,0,0,-8.0
215,APRIL 29,Jhoan Duran,1.0,0,1,3,1,0,1,0,0,-3.0
216,APRIL 29,Jorge Lopez,0.1,1,0,1,0,0,0,0,0,-1.0
220,APRIL 30,Ryan Pressly,1.0,0,0,0,1,0,0,1,0,9.0
222,APRIL 30,Jhoan Duran,0.1,0,0,0,0,0,0,1,0,6.0
225,MAY 1,Spencer Strider,5.0,5,4,3,8,1,0,0,0,9.0
226,MAY 1,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
227,MAY 1,Ryan Pressly,1.0,1,0,0,1,0,0,0,0,3.0
231,MAY 2,Sandy Alcantara,5.0,6,3,3,5,0,1,0,0,3.0
237,MAY 2,Jorge Lopez,1.0,3,2,0,0,0,0,0,0,-4.0
238,MAY 3,Max Scherzer,3.1,8,6,1,3,0,1,0,0,-10.0
240,MAY 3,Emmanuel Clase,1.0,2,1,0,0,0,0,0,0,-1.0
249,MAY 4,Jhoan Duran,1.0,0,0,2,0,0,0,0,0,1.0
250,MAY 4,Zach Eflin,7.0,3,0,0,10,1,0,0,0,30.0
251,MAY 4,Yennier Cano,2.0,1,0,0,3,1,0,0,0,10.0
256,MAY 5,Jhoan Duran,1.0,0,0,1,2,0,0,1,0,9.0
260,MAY 6,Spencer Strider,5.0,4,2,0,10,0,0,0,0,17.0
261,MAY 6,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
265,MAY 6,MacKenzie Gore,6.0,8,2,1,9,0,0,0,0,14.0
266,MAY 7,Sandy Alcantara,8.1,9,2,0,9,0,0,0,0,21.0
268,MAY 7,Emmanuel Clase,1.0,0,0,1,1,0,0,1,0,8.0
269,MAY 7,Joe Musgrove,5.0,2,0,3,5,0,0,0,0,15.0
271,MAY 7,Mason Miller,6.0,5,2,1,5,0,1,0,0,11.0
279,MAY 8,Tanner Bibee,3.2,7,4,4,2,0,1,0,0,-8.0
282,MAY 9,Emmanuel Clase,1.0,1,0,0,0,0,0,1,0,7.0
284,MAY 9,Zach Eflin,6.0,7,4,1,4,0,1,0,0,4.0
291,MAY 10,Jhoan Duran,2.0,0,0,0,1,0,0,0,0,7.0
302,MAY 12,Spencer Strider,6.2,5,1,1,12,0,1,0,0,22.0
303,MAY 12,Emmanuel Clase,1.0,2,1,0,1,0,1,0,0,-2.0
306,MAY 12,MacKenzie Gore,4.0,5,0,2,3,0,0,0,0,8.0
307,MAY 12,Carlos Estevez,1.0,2,0,1,1,0,0,1,0,6.0
308,MAY 13,Sandy Alcantara,7.2,7,6,2,9,0,1,0,0,9.0
311,MAY 13,Joe Musgrove,5.2,8,4,4,5,0,1,0,0,0.0
316,MAY 14,Emmanuel Clase,1.0,3,2,0,1,0,0,1,0,2.0
319,MAY 14,Zach Eflin,6.0,7,4,1,9,1,0,0,0,13.0
